RoadType,SpeedLimit,NodeID,x,y
trunk,40,1763601223,1.3796104,51.3358443
trunk,40,423442,1.389895,51.334607
trunk,40,423447,1.3902601,51.3344974
trunk,40,300615145,1.3901943,51.3342082
primary,40,1607646455,1.3917371,51.3344115
primary,40,1607646425,1.3933187,51.334007
primary,40,245946327,1.3944967,51.3336504
primary,30,1525333653,1.3975026,51.3343065
residential,30,423510,1.4231421,51.3326871
residential,30,3517774735,1.4230847,51.3327975
secondary,30,1519569785,1.4227745,51.3326598
secondary,30,423511,1.4236717,51.3328296
secondary,30,29030008,1.4244551,51.3338151
secondary,30,423526,1.4262633,51.334764
secondary,30,1607681671,1.4262634,51.3346399
secondary,30,423528,1.4266729,51.3351359
secondary,30,1607681674,1.4270315,51.3353533
residential,30,423530,1.4273976,51.3355795
residential,30,423531,1.4279331,51.3359019
secondary,30,1607681679,1.4273119,51.335528
secondary,30,423534,1.4265644,51.3360415
residential,30,423533,1.4285842,51.3363192
residential,30,8226144647,1.4275036,51.3361789
footway,No data,29058270,1.4282098,51.3357227
residential,30,8226144648,1.4281461,51.3365743
footway,No data,1566288876,1.4288074,51.3361452
secondary,30,423535,1.4252069,51.3366742
secondary,30,423536,1.4247472,51.3369169
residential,30,308295770,1.4256823,51.3376737
secondary,30,307623905,1.4243239,51.337157
primary,30,423538,1.4230347,51.3377735
primary,30,8975198164,1.4228904,51.3377931
primary,30,308282923,1.4238547,51.3385682
secondary,30,307623904,1.4236926,51.3375825
residential,30,423542,1.4246084,51.339132
primary,30,308282914,1.4246473,51.3391639
primary,30,307623903,1.4243402,51.3389343
primary,30,423544,1.4261855,51.34064
primary,30,308282911,1.4260085,51.3404616
primary,30,308282907,1.4266804,51.3411863
footway,No data,423547,1.4317213,51.3384349
residential,30,1566288951,1.4323079,51.3391278
residential,30,29058264,1.4313152,51.338108
primary,30,423559,1.4270224,51.3433543
primary,30,423560,1.4273188,51.344396
primary,30,308282898,1.4269915,51.3431248
residential,30,1607681896,1.4266403,51.3434222
primary,30,8975078468,1.4274167,51.3447441
tertiary,30,423562,1.4303793,51.3426119
tertiary,30,29029352,1.4304808,51.3429298
tertiary,30,29029385,1.4302253,51.3421384
residential,30,308311250,1.4302357,51.3429322
tertiary,30,1579287267,1.4309565,51.3444328
tertiary,30,29029351,1.4308465,51.3440972
tertiary,30,29029380,1.4297712,51.3445855
primary,30,423565,1.4275146,51.34507
primary,30,307454643,1.4276111,51.3454084
tertiary,30,1837656523,1.4287038,51.344823
tertiary,40,423671,1.3887678,51.3578989
primary,40,8243084927,1.3890546,51.3578421
service,No data,423678,1.3901091,51.3593052
service,No data,336131790,1.390252,51.3592303
service,No data,336359954,1.3902222,51.3591904
service,No data,2046481054,1.3904111,51.3588507
primary,40,424809,1.3842545,51.3450331
service,No data,424815,1.3846542,51.3459177
service,No data,1607646792,1.3847498,51.3458939
residential,20,424816,1.3853958,51.3474314
residential,20,36495250,1.3854803,51.3474171
primary,40,424817,1.3858612,51.3484508
unclassified,30,424825,1.3861415,51.352859
unclassified,30,6805519800,1.3849896,51.3528766
tertiary,30,5257308125,1.3867691,51.3541513
tertiary,30,8243084939,1.3862152,51.3525416
footway,No data,8934124867,1.4198885,51.3304136
primary,30,28254324,1.4001776,51.3360398
primary,30,245946332,1.4004053,51.3362609
primary,30,36136488,1.3997402,51.3354124
residential,30,300612585,1.4008617,51.3357931
tertiary,30,28254338,1.4146009,51.3365963
tertiary,30,300925067,1.4150231,51.3363883
tertiary,30,300918704,1.4143681,51.3367103
unclassified,30,7930876075,1.4133482,51.3357165
tertiary,30,28254340,1.4168017,51.3354073
tertiary,30,300925081,1.4162619,51.3357342
residential,30,29029409,1.4173619,51.3357428
tertiary,30,29029288,1.4171039,51.3352092
tertiary,30,28254341,1.4180302,51.3346685
tertiary,30,29029289,1.4178476,51.3347851
residential,30,1200011068,1.4211404,51.3360616
residential,30,29029445,1.4267567,51.3380241
residential,30,1607681688,1.429278,51.3367598
residential,30,1779290257,1.4284101,51.3371566
secondary,40,29028359,1.396955,51.3321336
secondary,40,300620347,1.3972432,51.3319786
secondary,40,577322198,1.3962704,51.3325417
secondary,40,29028360,1.397552,51.3318008
secondary,40,29028367,1.3992152,51.3308766
secondary,40,29028369,1.4005317,51.3300913
secondary,40,29028375,1.4025192,51.3294033
secondary,40,300398888,1.4026499,51.3293818
secondary,40,8393726197,1.4022017,51.3294762
tertiary,30,300636431,1.4017832,51.3293433
secondary,40,29028378,1.4054982,51.3294175
secondary,40,29028380,1.4058384,51.3294726
secondary,40,300398891,1.4040258,51.3292835
secondary,40,300398892,1.4066681,51.3296428
residential,30,9102007938,1.4080985,51.328882
residential,30,300627655,1.4064341,51.3278511
residential,30,300627640,1.4088532,51.3282681
residential,30,29028462,1.4091096,51.3285337
footway,No data,29028390,1.4100384,51.3275173
footway,No data,300657038,1.409294,51.3284674
footway,No data,29950650,1.4086988,51.3274469
footway,No data,29029250,1.4094099,51.3275212
footway,No data,559461429,1.4164192,51.3297777
residential,30,29028396,1.4109867,51.3288575
secondary,30,29028399,1.4119135,51.3291297
secondary,30,5864754992,1.4105494,51.3287576
secondary,30,29028400,1.4123597,51.3292332
residential,30,29031120,1.411995,51.3297333
secondary,30,3964088122,1.4128002,51.3293224
secondary,30,300938228,1.4135602,51.3293015
secondary,30,29028403,1.4139441,51.3291104
secondary,30,9102010155,1.4138327,51.3291881
secondary,30,1765206580,1.4159942,51.3296415
service,30,300933644,1.415047,51.3296843
unclassified,30,29028414,1.4191518,51.331968
unclassified,30,29029498,1.4188641,51.3322365
secondary,30,8226001424,1.4197757,51.332063
unclassified,30,29028419,1.4221713,51.332094
unclassified,30,559461496,1.4223275,51.3320732
unclassified,30,8226011249,1.421655,51.332172
unclassified,30,29028421,1.4231778,51.332025
unclassified,30,29028425,1.4234094,51.3320871
footway,No data,559461508,1.4232377,51.3318101
unclassified,30,5423331143,1.4240346,51.3323417
unclassified,30,29028434,1.4273052,51.33468
unclassified,30,29028435,1.428008,51.3351223
unclassified,30,1519569980,1.4269607,51.3344663
residential,30,29028437,1.4291535,51.3358845
unclassified,30,29028438,1.429501,51.3361079
unclassified,30,10736634698,1.4296937,51.3362298
residential,30,29028440,1.4334212,51.339976
residential,30,29028441,1.4330378,51.3396505
footway,No data,1566288971,1.4333701,51.3395221
footway,No data,4570186179,1.4331957,51.3395895
secondary,30,1579312440,1.4077991,51.3300173
tertiary,30,29028459,1.4080276,51.3300048
tertiary,30,300649169,1.4100562,51.3306509
residential,30,29028461,1.4087383,51.3290068
residential,30,8226587194,1.4082633,51.3289087
residential,30,29028683,1.3983128,51.3288588
tertiary,30,300629686,1.4003903,51.329183
tertiary,30,559461257,1.3980719,51.328798
residential,30,29028685,1.3981386,51.3274063
footway,No data,300628210,1.3982092,51.3262225
residential,30,300627671,1.4002942,51.3273345
residential,30,300627661,1.4043299,51.3275972
residential,30,1540957399,1.4042443,51.3275121
residential,30,29028699,1.4002975,51.3272447
residential,30,29028701,1.3981789,51.3272737
residential,30,300627677,1.3981359,51.3273284
tertiary,30,29028703,1.40769,51.330525
tertiary,30,1336927858,1.4077831,51.3303644
tertiary,30,300623612,1.4075341,51.3307485
residential,30,300649168,1.4096992,51.3311235
tertiary,30,29028704,1.4071524,51.3313502
tertiary,30,29028705,1.4066719,51.3320462
tertiary,30,7812018785,1.4066229,51.3321172
residential,30,10570929943,1.4025681,51.3308332
residential,30,29028713,1.4115627,51.3296404
tertiary,30,29028720,1.4149154,51.331979
tertiary,30,300651097,1.4138114,51.3317194
tertiary,30,29028721,1.4155931,51.3321324
residential,30,300933616,1.4150959,51.331759
tertiary,30,300933588,1.4159805,51.3322111
residential,30,7100936181,1.415291,51.3325979
tertiary,30,29028723,1.4170938,51.3325961
tertiary,30,29028724,1.4178004,51.3328443
tertiary,30,559461445,1.4168479,51.3324918
residential,30,7100949104,1.4171505,51.3334505
unclassified,30,300933582,1.4181243,51.332962
tertiary,30,300799268,1.412457,51.3373038
tertiary,30,300697236,1.4112221,51.3376849
tertiary,30,29029400,1.4127859,51.3384439
tertiary,30,300799062,1.4110281,51.3370702
tertiary,30,300925072,1.4155637,51.3360939
tertiary,30,300945875,1.4155859,51.3375463
tertiary,30,300944358,1.4174657,51.3350002
residential,30,10577244372,1.4168532,51.3350764
residential,30,6875968067,1.4173447,51.3345555
pedestrian,No data,4642522205,1.4234326,51.3315935
residential,30,29029376,1.4326249,51.3432875
tertiary,30,308311269,1.4307183,51.3436811
residential,30,29029381,1.4324597,51.3421844
residential,30,4438868052,1.4296429,51.3442775
footway,No data,29029383,1.4317884,51.3415125
tertiary,30,308301519,1.4301199,51.3417383
tertiary,30,29029386,1.4301116,51.3410974
tertiary,30,308301517,1.4301014,51.3412078
tertiary,30,29029387,1.4301118,51.3407612
tertiary,30,1607681743,1.4295802,51.340094
residential,30,1607681778,1.4310038,51.3408233
primary,30,29029401,1.4142722,51.3382944
primary,30,36136487,1.4112207,51.338428
primary,30,29029402,1.4144516,51.3385837
primary,30,29029405,1.414913,51.3382904
residential,30,300918701,1.4130538,51.3371017
primary,30,308326493,1.4145625,51.3387174
tertiary,30,5391125342,1.4152466,51.3378637
primary,30,308315438,1.4147083,51.338558
primary,30,308282945,1.415813,51.3383035
primary,30,29029408,1.4140593,51.3394575
primary,30,308282949,1.4141896,51.3392548
residential,30,308325237,1.414821,51.3411775
primary,30,308282948,1.4138639,51.3397081
residential,30,300944355,1.4180114,51.335356
residential,30,307491724,1.4204498,51.3374162
residential,30,300925857,1.4162109,51.3347681
residential,30,29029419,1.416477,51.3344375
footway,30,1769230659,1.4169725,51.3348009
residential,30,29029422,1.4181794,51.3337558
residential,30,7100949106,1.4183702,51.3337223
pedestrian,30,300926688,1.4187661,51.3332312
pedestrian,30,300926693,1.4186586,51.3336127
residential,30,29029425,1.4191701,51.3339402
residential,30,29029500,1.4202503,51.3340759
residential,30,983146641,1.4200609,51.3345644
residential,30,983146642,1.4190616,51.3350036
residential,30,1779062722,1.41943,51.3351516
residential,30,1779062680,1.4197924,51.3349881
residential,30,29029432,1.4199638,51.335563
residential,30,29029434,1.4207647,51.3351997
footway,30,1779210977,1.4210359,51.335443
residential,30,29029438,1.4212089,51.3360272
service,30,29029443,1.4209381,51.3357927
tertiary,30,308313111,1.4281958,51.3391738
residential,30,29029448,1.4289091,51.3396016
residential,30,29029449,1.4293355,51.3393937
tertiary,30,308313066,1.4294663,51.3399934
tertiary,30,308301510,1.4282314,51.3391956
residential,30,7192629594,1.4273769,51.336276
service,No data,29029471,1.4297004,51.3366351
unclassified,30,29961868,1.4264218,51.3346284
unclassified,30,1519569943,1.4266773,51.3342735
unclassified,30,4570186180,1.418538,51.3325042
service,30,8226027727,1.4187809,51.3321844
